n,fecha,Casos por fecha de inicio de síntomas,Casos por fecha de toma de muestra,Casos por fecha de emisión de resultados
1395,2024-01-07,45,65,13
1396,2024-01-08,59,136,101
1397,2024-01-09,55,152,144
1398,2024-01-10,61,156,180
1399,2024-01-11,33,121,155
1400,2024-01-12,63,107,113
1401,2024-01-13,43,55,19
1402,2024-01-14,37,47,18
1403,2024-01-15,76,143,150
1404,2024-01-16,59,144,155
1405,2024-01-17,53,110,149
1406,2024-01-18,66,170,195
1407,2024-01-19,63,134,121
1408,2024-01-20,53,44,20
1409,2024-01-21,57,69,25
1410,2024-01-22,77,209,128
1411,2024-01-23,73,152,186
1412,2024-01-24,61,161,152
1413,2024-01-25,51,156,209
1414,2024-01-26,67,162,122
1415,2024-01-27,67,67,40
1416,2024-01-28,63,88,36
1417,2024-01-29,90,238,170
1418,2024-01-30,75,150,253
1419,2024-01-31,49,168,185
1420,2024-02-01,103,175,198
1421,2024-02-02,70,175,164
1422,2024-02-03,93,80,20
1423,2024-02-04,74,73,24
1424,2024-02-05,108,301,260
1425,2024-02-06,99,188,252
1426,2024-02-07,65,219,228
1427,2024-02-08,71,233,223
1428,2024-02-09,81,189,158
1429,2024-02-10,86,108,19
1430,2024-02-11,48,140,56
1431,2024-02-12,76,286,524
1432,2024-02-13,84,209,260
1433,2024-02-14,56,166,189
1434,2024-02-15,63,166,194
1435,2024-02-16,62,153,162
1436,2024-02-17,54,84,23
1437,2024-02-18,56,46,24
1438,2024-02-19,69,222,181
1439,2024-02-20,81,186,188
1440,2024-02-21,70,166,239
1441,2024-02-22,42,139,172
1442,2024-02-23,47,152,193
1443,2024-02-24,48,59,13
1444,2024-02-25,57,48,13
1445,2024-02-26,77,182,250
1446,2024-02-27,48,155,211
1447,2024-02-28,42,139,181
1448,2024-02-29,34,110,168
1449,2024-03-01,49,118,151
1450,2024-03-02,34,44,16
1451,2024-03-03,42,50,3
1452,2024-03-04,54,117,170
1453,2024-03-05,52,118,134
1454,2024-03-06,35,117,138
1455,2024-03-07,29,95,116
1456,2024-03-08,28,89,85
1457,2024-03-09,35,43,16
1458,2024-03-10,34,31,7
1459,2024-03-11,48,115,135
1460,2024-03-12,33,82,101
1461,2024-03-13,25,77,156
1462,2024-03-14,23,76,95
1463,2024-03-15,27,72,115
1464,2024-03-16,19,31,11
1465,2024-03-17,16,30,14
1466,2024-03-18,27,71,96
1467,2024-03-19,19,51,88
1468,2024-03-20,23,42,96
1469,2024-03-21,16,50,74
1470,2024-03-22,9,36,66
1471,2024-03-23,4,11,7
1472,2024-03-24,5,16,5
1473,2024-03-25,9,31,62
1474,2024-03-26,11,19,81
1475,2024-03-27,4,16,5
1476,2024-03-28,11,8,2
1477,2024-03-29,3,6,3
1478,2024-03-30,5,9,4
1479,2024-03-31,6,14,10
1480,2024-04-01,10,16,76
1481,2024-04-02,3,16,76
1482,2024-04-03,2,14,50
1483,2024-04-04,2,9,88
1484,2024-04-05,1,5,63
1485,2024-04-06,0,2,2
1486,2024-04-07,0,0,1
