"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-03-13","6","1","1"
"2","2020-03-14","4","1","0"
"3","2020-03-15","3","6","6"
"4","2020-03-16","2","0","0"
"5","2020-03-17","3","3","1"
"6","2020-03-18","5","3","3"
"7","2020-03-19","6","6","4"
"8","2020-03-20","3","3","5"
"9","2020-03-21","1","2","1"
"10","2020-03-22","1","2","3"
"11","2020-03-24","1","4","3"
"12","2020-03-25","1","1","4"
"13","2020-03-26","4","4","0"
"14","2020-03-27","5","4","6"
"15","2020-03-28","3","3","3"
"16","2020-03-29","1","1","3"
"17","2020-03-30","5","4","3"
"18","2020-03-31","7","5","6"
"19","2020-04-01","4","6","2"
"20","2020-04-02","9","6","6"
"21","2020-04-03","6","9","9"
"22","2020-04-04","8","9","2"
"23","2020-04-05","9","7","10"
"24","2020-04-06","8","5","5"
"25","2020-04-07","12","11","7"
"26","2020-04-08","34","38","40"
"27","2020-04-09","10","16","10"
"28","2020-04-10","14","15","6"
"29","2020-04-11","5","4","19"
"30","2020-04-12","10","10","9"
"31","2020-04-13","18","19","4"
"32","2020-04-14","73","73","8"
"33","2020-04-15","11","10","74"
"34","2020-04-16","18","21","19"
"35","2020-04-17","13","14","7"
"36","2020-04-18","18","10","3"
"37","2020-04-19","6","3","18"
"38","2020-04-20","40","37","13"
"39","2020-04-21","72","73","66"
"40","2020-04-22","20","30","41"
"41","2020-04-23","47","53","43"
"42","2020-04-24","62","68","12"
"43","2020-04-25","19","20","67"
"44","2020-04-26","26","14","17"
"45","2020-04-27","33","31","26"
"46","2020-04-28","44","34","21"
"47","2020-04-29","35","32","34"
"48","2020-04-30","48","53","31"
"49","2020-05-01","45","23","34"
"50","2020-05-02","32","21","6"
"51","2020-05-03","43","27","10"
"52","2020-05-04","73","50","38"
"53","2020-05-05","82","53","20"
"54","2020-05-06","71","73","42"
"55","2020-05-07","58","58","57"
"56","2020-05-08","113","109","28"
"57","2020-05-09","76","94","143"
"58","2020-05-10","83","51","49"
"59","2020-05-11","97","116","64"
"60","2020-05-12","116","132","79"
"61","2020-05-13","125","189","139"
"62","2020-05-14","108","179","175"
"63","2020-05-15","135","143","158"
"64","2020-05-16","95","117","106"
"65","2020-05-17","162","201","88"
"66","2020-05-18","228","303","155"
"67","2020-05-19","226","263","246"
"68","2020-05-20","348","487","211"
"69","2020-05-21","366","621","299"
"70","2020-05-22","400","545","426"
"71","2020-05-23","164","258","269"
"72","2020-05-24","170","219","339"
"73","2020-05-25","475","640","302"
"74","2020-05-26","448","592","259"
"75","2020-05-27","299","425","306"
"76","2020-05-28","378","443","269"
"77","2020-05-29","372","411","211"
"78","2020-05-30","173","208","299"
"79","2020-05-31","122","126","198"
"80","2020-06-01","302","407","280"
"81","2020-06-02","282","380","179"
"82","2020-06-03","317","470","265"
"83","2020-06-04","374","462","411"
"84","2020-06-05","474","633","397"
"85","2020-06-06","414","553","286"
"86","2020-06-07","292","340","318"
"87","2020-06-08","435","598","343"
"88","2020-06-09","436","726","364"
"89","2020-06-10","564","774","431"
"90","2020-06-11","410","792","218"
"91","2020-06-12","462","730","414"
"92","2020-06-13","404","529","96"
"93","2020-06-14","360","470","303"
"94","2020-06-15","725","1019","555"
"95","2020-06-16","545","948","718"
"96","2020-06-17","509","880","551"
"97","2020-06-18","482","765","814"
"98","2020-06-19","545","909","486"
"99","2020-06-20","681","780","256"
"100","2020-06-21","357","353","418"
"101","2020-06-22","787","1178","780"
"102","2020-06-23","719","1211","778"
"103","2020-06-24","648","1190","351"
"104","2020-06-25","673","1409","1037"
"105","2020-06-26","777","1368","671"
"106","2020-06-27","676","915","572"
"107","2020-06-28","513","402","466"
"108","2020-06-29","670","1015","734"
"109","2020-06-30","821","1733","984"
"110","2020-07-01","793","1408","1138"
"111","2020-07-02","694","1412","1299"
"112","2020-07-03","700","1331","1330"
"113","2020-07-04","581","905","790"
"114","2020-07-05","506","389","700"
"115","2020-07-06","729","1305","901"
"116","2020-07-07","654","1298","674"
"117","2020-07-08","611","1345","1236"
"118","2020-07-09","576","1173","1003"
"119","2020-07-10","794","1071","1008"
"120","2020-07-11","608","772","806"
"121","2020-07-12","471","491","408"
"122","2020-07-13","700","1227","1220"
"123","2020-07-14","604","1158","1261"
"124","2020-07-15","616","1128","939"
"125","2020-07-16","596","1178","1021"
"126","2020-07-17","591","1039","1191"
"127","2020-07-18","618","697","666"
"128","2020-07-19","484","384","340"
"129","2020-07-20","804","1268","1296"
"130","2020-07-21","531","1076","1131"
"131","2020-07-22","504","1127","1073"
"132","2020-07-23","486","1048","1019"
"133","2020-07-24","527","1072","1272"
"134","2020-07-25","440","618","638"
"135","2020-07-26","379","315","261"
"136","2020-07-27","542","1264","1209"
"137","2020-07-28","512","1131","1179"
"138","2020-07-29","409","912","1271"
"139","2020-07-30","479","877","1000"
"140","2020-07-31","474","885","1163"
"141","2020-08-01","649","588","358"
"142","2020-08-02","375","411","227"
"143","2020-08-03","486","1129","788"
"144","2020-08-04","383","886","1143"
"145","2020-08-05","403","966","824"
"146","2020-08-06","379","768","943"
"147","2020-08-07","380","719","903"
"148","2020-08-08","400","533","420"
"149","2020-08-09","317","301","389"
"150","2020-08-10","560","859","996"
"151","2020-08-11","372","804","1151"
"152","2020-08-12","366","746","1233"
"153","2020-08-13","340","752","1144"
"154","2020-08-14","423","686","903"
"155","2020-08-15","401","475","337"
"156","2020-08-16","351","392","310"
"157","2020-08-17","449","909","909"
"158","2020-08-18","357","773","1043"
"159","2020-08-19","325","729","1124"
"160","2020-08-20","484","798","1052"
"161","2020-08-21","384","730","943"
"162","2020-08-22","378","413","331"
"163","2020-08-23","325","309","342"
"164","2020-08-24","359","844","1152"
"165","2020-08-25","369","754","1082"
"166","2020-08-26","318","775","1141"
"167","2020-08-27","320","684","1065"
